153000001001010102001   5310 #0001    N 027535RBEE CC  DDC CCCDEDADBDBAADEAAABDADACDBAEDABECBABCBBDCACD BDD                              
153000002001010102001   5310 #0001    N 027534RBCABEDCBDABCAECDABADBDBAADECAABDEACAEBAEDCDEDCCBBABECABB ADD                              
153000003001010102001   5310 #0001    N 027536RBEE CBCADDBDC CDBAADBDBAAEAAAAEDABDDDBEBCABEDCEBCBBDCACACBDD                              
153000004001010102001   5310 #0001    N 027517REEE CCACDDDDCBCDBAADBDBAAEAAAC  AAEDDB                CAC DD                              
153000005001010102001   5310 #0001    N 027516R EECA   DB  C  D  A BD  AE AAC  AA DDB   A EDC EBA BCA  CBDD                              
153000006001010102001   5310 #0001    N 027515REEECAC CDDEDCE CE ADBDCAAEBAACCDAACDDBAA ADEEC EDB CCA  CBDD                              
153000007001010102001   5310 #0001    N 027537RDEEDCDCBDBCCCCDCCCAABCCCCDBAABACAACCDBEEEADEDD      C CAC DD                              
153000008001010102001   5310 #0001    N 027538RD   C   D      C   AA C EDAA AA  AEAA     DECCAEBD CCACAC DD                              
153000009001010102001   5310 #0001    N 027507RDAAEDACADACBADACDCAAAD*BEDAEAAABCAEADBC   DE D      CACACBDD                              
153000010001010102001   5310 #0001    N 027539REBDABDB  ACEADBEABCABDBCDDBAAABDAAEAABAADADEDCCBCABACACACBDD                              
153000011001010102001   5310 #0001    N 027508RCAACDECECA     D  CA DB DD    BDAA A BD BADEDC BCABACACACBDD                              
153000012001010102001   5310 #0001    N 027509RD  D ACECBD DB *   A D  DE       A   DDDB  E  A     C  AC DD                              
153000013001010102001   5310 #0001    N 027540R                   A D   E A CADEAEABDC  DCEAC BAACBCCCACDDD                              
153000014001010102001   5310 #0001    N 027514R                   ADDEADE A CDDEAEA    DBCE CBBBAADCCCACDDD                              
153000015001010102001   5310 #0001    N 027511        AA CA AACABAA D  DECAACE*AAEACD   ACEDBBBCAADCCCACDDD                              
153000016001010102001   5310 #0001    N 027512RBBAECCDBCEECADED DAABDCAAEAAEADCDAAAABCCCCBEACCECDDECCEECDDD                              
153000017001010102001   5310 #0001    N 027510RCCBDCAADCEBDACEBECAABDCAAEAAEADCDA AABDBECBEACCECDDECCEECDDD                              
153000018001010102001   5310 #0001    N 027513RDECBCAACCEBCEBCD  AABDCADDAAAADCDAAAABC  CDEACCECADECCDACDDD                              
153000019001010102001   5310 #0001    N 027541RD *BCDC CEEBCCBC  AA DCAD AAAADCDA A B   CDEACCEC B CCCACDDD                              
153000020001010102001   5310 #0001    N 027542RDECBCDBECEDBACCCDBAABDEADBCACEBECADAABCBDCCEACCECABECCCACBDD                              
153000021001010102001   5310 #0001    N 027543RDBDCDBEDC         AADDDAD CACAAEEABAABCEDCEEACCECABECCDACEDE                              
153000022001010102001   5310 #0001    N 027544 ACEBDE CC       C  AD  BDDEA C E   A   *CADEACCEEABCCCDACEDE                              
153000023001010102001   5310 #0001    N 027545RCDEEBEAACDBCCCBADBCA CCBDEEA BCEC EACEDEAACE BDDCCD CCDACDDE                             E
153000024001010102001   5310 #0001    N 027546RDDEEBECDCCCEBDBAECBAC D DECDCC E AEAEEDDCB EBBDECABDCCDACBDD                              
153000025001010102001   5310 #0001    N 027699RBDDECDACCDDDECBCCBEBCDCACCEECECADEEAACCECCCECCACBDDBCBEDACDD                              
153000026001010102001   5310 #0001    N 027700RABBCB*BACDEBCCDCDEABACCEEEAAAAEACBEEBCCCDCCEEAEBDBCBCCEAAEDA                              
153000027001010102001   5310 #0001    N 027701RAEBACBDAEADBCAADCBABBABCACDABAECCAECCDBBDDCECDBAAACBABBBCBBCEBCBAAACCCBBBACBBCBEECCBBCBDAA
153000028001010102001   5310 #0001    N 027440RDBCAADCCBDEADEECBECABDB ADCAACC*EBEACBAAAEDEDABEDDBDCCAACBDE                              
